analysis,point_estimate,lower,upper
block_only,0.01120137178445901,-0.037457116323671,0.0595299262701935
block_plus_training_seed,0.01120137178445901,-0.061179446140448714,0.08452198981143186
block_accuracy_only,0.02857142857142857,-0.02222222222222222,0.08253968253968254
block_accuracy_plus_training_seed,0.02857142857142857,-0.04444444444444444,0.10793650793650791
leave_one_training_seed_out_42,0.017860091803236552,,
leave_one_training_seed_out_43,0.0017582902289901801,,
leave_one_training_seed_out_44,-0.006891105865231468,,
leave_one_training_seed_out_45,0.025297322717358225,,
leave_one_training_seed_out_46,0.017982260037941563,,
