method,lambda_max,fold,held_position,seed,selected_epoch,epochs_executed,model_state_sha256,p4_used
DANN,0.1,S3,P3,44,8,16,bc3407ce529386aff3979dea78c159e0f13b4b49ee4b5e0139cad3373927e23e,False
DANN,0.1,S3,P3,45,2,10,a7602a67e09020bd268ffd078eb40a7083815eb6ffbe8a4415ca2af240384880,False
DANN,0.1,S3,P3,46,6,14,745d051cd8fc7ead23afe5311f8fb58cd9f264648acd8f74fb43237050b50581,False
DANN,0.3,S1,P1,42,15,23,3a88aee99ee1b712f09793d9c6ae8f89369d8420b890bc963771aeadb6af45b5,False
DANN,0.3,S1,P1,43,7,15,693dd80bc819e5a8b1091482bfa6693ed5c0c390be0c27a9f90bbabb7e927571,False
DANN,0.3,S1,P1,44,19,27,5016e0384ddea4d24f858354f61541faac8138613cee7f36118de4b363805437,False
DANN,0.3,S1,P1,45,12,20,a15583214a9090c8fb006b1961287355e855d439933638c2b370d3c7f491b584,False
DANN,0.3,S1,P1,46,2,10,732de4ec9d3bc153546af658f89c2f05dfc049d74b33405173120e4dddb0d2ac,False
DANN,0.3,S2,P2,42,10,18,2864905c39a153a405b4d4b57d3d4eec8528109de22ac5551dcbb32290a77481,False
DANN,0.3,S2,P2,43,8,16,f8f4b33eb368b758d855a1a761dd997137496d60f91d436e8d70e8d8a36e8bf3,False
DANN,0.3,S2,P2,44,18,26,5db164b24ad01faebace097d28c2f24b0ffcf3b188e5a7d3ca2cc929f9caf70d,False
DANN,0.3,S2,P2,45,7,15,c44df1739d8d1fcc387fefbf5e3ac3c3410c295af7dec928aee0495fa85585ce,False
DANN,0.3,S2,P2,46,5,13,3ee146cf3d6b5488d115452e16c114eecea227eb6dd6f966eb04069d9b6fec5b,False
DANN,0.3,S3,P3,42,5,13,212bb5c5705bee45102a84ecbaab62601f19b4d115ad5bad952ee39a77348a40,False
DANN,0.3,S3,P3,43,15,23,71d6a1da6405c4e9abc7c8943ee10b870fc160938b2eb36032f2da30eefe49dd,False
DANN,0.3,S3,P3,44,2,10,a578ab5ae8b78b5c3712d05d1d7f0e9f9a1888c65ff2d9624f56dd965d268334,False
