endpoint,point_estimate,percentile_95_lower,percentile_95_upper,block_plus_seed_lower,block_plus_seed_upper,independent_unit,block_accuracy_change,row_prediction_changes,block_prediction_changes
condition_block_macro_f1,0.01120137178445901,-0.037457116323671,0.0595299262701935,-0.061179446140448714,0.08452198981143186,TagID_x_ER_x_surface_block,,,
condition_block_accuracy,0.02857142857142857,-0.02222222222222222,0.08253968253968254,-0.04444444444444444,0.10793650793650791,TagID_x_ER_x_surface_block,,,
seed_42,-0.015433508290651154,,,,,,-0.015873015873015872,1465,30
seed_43,0.04897369800633433,,,,,,0.047619047619047616,1422,29
seed_44,0.08357128238322092,,,,,,0.1111111111111111,1576,32
seed_45,-0.04518243194713785,,,,,,-0.015873015873015872,1553,31
seed_46,-0.0159221812294712,,,,,,0.015873015873015872,1849,37
